hour_in_day,Device,Season,hourly_usage_wh
16,Irrigation Pump,Oct - Jan,0
17,Irrigation Pump,Oct - Jan,0
18,Irrigation Pump,Oct - Jan,0
19,Irrigation Pump,Oct - Jan,0
20,Irrigation Pump,Oct - Jan,0
21,Irrigation Pump,Oct - Jan,0
22,Irrigation Pump,Oct - Jan,0
23,Irrigation Pump,Oct - Jan,0
24,Irrigation Pump,Oct - Jan,0
1,Irrigation Pump,Feb - May,0
2,Irrigation Pump,Feb - May,0
3,Irrigation Pump,Feb - May,0
4,Irrigation Pump,Feb - May,0
5,Irrigation Pump,Feb - May,0
6,Irrigation Pump,Feb - May,0
7,Irrigation Pump,Feb - May,0
8,Irrigation Pump,Feb - May,0
9,Irrigation Pump,Feb - May,0
10,Irrigation Pump,Feb - May,0
11,Irrigation Pump,Feb - May,2250
12,Irrigation Pump,Feb - May,2250
13,Irrigation Pump,Feb - May,2250
14,Irrigation Pump,Feb - May,0
15,Irrigation Pump,Feb - May,0
16,Irrigation Pump,Feb - May,0
17,Irrigation Pump,Feb - May,0
18,Irrigation Pump,Feb - May,0
19,Irrigation Pump,Feb - May,0
20,Irrigation Pump,Feb - May,0
21,Irrigation Pump,Feb - May,0
22,Irrigation Pump,Feb - May,0
23,Irrigation Pump,Feb - May,0
24,Irrigation Pump,Feb - May,0
1,Irrigation Pump,Jun - Sep,0
2,Irrigation Pump,Jun - Sep,0
3,Irrigation Pump,Jun - Sep,0
4,Irrigation Pump,Jun - Sep,0
5,Irrigation Pump,Jun - Sep,0
6,Irrigation Pump,Jun - Sep,0
7,Irrigation Pump,Jun - Sep,0
8,Irrigation Pump,Jun - Sep,0
9,Irrigation Pump,Jun - Sep,0
10,Irrigation Pump,Jun - Sep,0
11,Irrigation Pump,Jun - Sep,2250
12,Irrigation Pump,Jun - Sep,2250
13,Irrigation Pump,Jun - Sep,0
14,Irrigation Pump,Jun - Sep,0
15,Irrigation Pump,Jun - Sep,0
16,Irrigation Pump,Jun - Sep,0
17,Irrigation Pump,Jun - Sep,0
18,Irrigation Pump,Jun - Sep,0
19,Irrigation Pump,Jun - Sep,0
20,Irrigation Pump,Jun - Sep,0
21,Irrigation Pump,Jun - Sep,0
22,Irrigation Pump,Jun - Sep,0
23,Irrigation Pump,Jun - Sep,0
24,Irrigation Pump,Jun - Sep,0
