"","Maximum","Mean","Median"
0,2617.43493138681,724.401116283374,659.993923023016
1,3576.00168501412,1174.82958392047,1109.29300042477
2,5592.0039985776,2116.89412828519,2134.50242299636
3,8059.01803491013,3221.30533577655,3244.63482013943
4,12340.8247533607,4754.11231060332,4965.00812746093
5,21252.8000421169,7148.45711487885,7104.84867888391
6,29322.2569186507,9611.15682846136,9831.11429420276
7,37864.7521677492,11996.6883374787,11967.2107106143
8,49358.6437752741,14015.775065814,13386.8433551125
9,62749.9117901766,15447.8775178237,15021.2012936681
