"","Domestic","Commercial","Public"
0,287.586261531272,0,0
1,337.803326099597,0,0
2,322.428722833676,0,0
3,345.191589523726,0,0
4,331.838726546127,0,0
5,337.921154701522,0,0
6,275.458968276932,0,0
7,351.41946219665,0,0
8,359.421254666685,4500,0
9,343.982132120555,4500,0
10,363.32185510799,4500,0
11,444.988140797956,4500,0
12,435.034518644332,4500,0
13,442.404600308665,4500,0
14,522.139413121319,4500,0
15,1325.07821081981,0,0
16,802.781437215939,0,0
17,930.557155057768,0,0
18,885.936076639023,0,0
19,868.038278553778,0,0
20,869.560140617597,0,0
21,939.071868749519,0,0
22,1021.53562133741,0,0
23,702.533194948159,0,0
24,287.586261531272,0,0
25,337.803326099597,0,0
26,322.428722833676,0,0
27,345.191589523726,0,0
28,331.838726546127,0,0
29,337.921154701522,0,0
30,275.458968276932,0,0
31,351.41946219665,0,0
32,359.421254666685,4500,0
33,343.982132120555,4500,0
34,363.32185510799,4500,0
35,444.988140797956,4500,0
36,435.034518644332,4500,0
37,442.404600308665,4500,0
38,522.139413121319,4500,0
39,1325.07821081981,0,0
40,802.781437215939,0,0
41,930.557155057768,0,0
42,885.936076639023,0,0
43,868.038278553778,0,0
44,869.560140617597,0,0
45,939.071868749519,0,0
46,1021.53562133741,0,0
47,702.533194948159,0,0
48,287.586261531272,0,0
49,337.803326099597,0,0
50,322.428722833676,0,0
51,345.191589523726,0,0
52,331.838726546127,0,0
53,337.921154701522,0,0
54,275.458968276932,0,0
55,351.41946219665,0,0
56,359.421254666685,4500,0
57,343.982132120555,4500,0
58,363.32185510799,4500,0
59,444.988140797956,4500,0
60,435.034518644332,4500,0
61,442.404600308665,4500,0
62,522.139413121319,4500,0
63,1325.07821081981,0,0
64,802.781437215939,0,0
65,930.557155057768,0,0
66,885.936076639023,0,0
67,868.038278553778,0,0
68,869.560140617597,0,0
69,939.071868749519,0,0
70,1021.53562133741,0,0
71,702.533194948159,0,0
72,287.586261531272,0,0
73,337.803326099597,0,0
74,322.428722833676,0,0
75,345.191589523726,0,0
76,331.838726546127,0,0
77,337.921154701522,0,0
78,275.458968276932,0,0
79,351.41946219665,0,0
80,359.421254666685,4500,0
81,343.982132120555,4500,0
82,363.32185510799,4500,0
83,444.988140797956,4500,0
84,435.034518644332,4500,0
85,442.404600308665,4500,0
86,522.139413121319,4500,0
87,1325.07821081981,0,0
88,802.781437215939,0,0
89,930.557155057768,0,0
90,885.936076639023,0,0
91,868.038278553778,0,0
92,869.560140617597,0,0
93,939.071868749519,0,0
94,1021.53562133741,0,0
95,702.533194948159,0,0
96,272.594604053975,0,0
97,262.589234071145,0,0
98,276.302427585684,0,0
99,243.437633717498,0,0
100,242.121457526485,0,0
101,223.415916794923,0,0
102,224.46539623104,0,0
103,338.471211751295,0,0
104,650.33053098786,4500,0
105,1263.28327006134,4500,0
106,816.671446129358,4500,0
107,466.56837310158,4500,0
108,408.828162893038,4500,0
109,439.955037376214,4500,0
110,928.517116551072,4500,0
111,1065.7140068508,0,0
112,997.330535837548,0,0
113,898.899851935411,0,0
114,1006.45027777469,0,0
115,1125.21791252722,0,0
116,1888.02833538869,0,0
117,1298.1588746636,0,0
118,1182.89586151695,0,0
119,726.964534639475,0,0
120,272.594604053975,0,0
121,262.589234071145,0,0
122,276.302427585684,0,0
123,243.437633717498,0,0
124,242.121457526485,0,0
125,223.415916794923,0,0
126,224.46539623104,0,0
127,338.471211751295,0,0
128,650.33053098786,4500,0
129,1263.28327006134,4500,0
130,816.671446129358,4500,0
131,466.56837310158,4500,0
132,408.828162893038,4500,0
133,439.955037376214,4500,0
134,928.517116551072,4500,0
135,1065.7140068508,0,0
136,997.330535837548,0,0
137,898.899851935411,0,0
138,1006.45027777469,0,0
139,1125.21791252722,0,0
140,1888.02833538869,0,0
141,1298.1588746636,0,0
142,1182.89586151695,0,0
143,726.964534639475,0,0
144,287.586261531272,0,0
