"","Maximum","Mean","Median"
0,1175.18666666667,359.02474238965,300.506666666667
1,1726.34971158524,641.285977379639,603.391327760435
2,2848.53617372801,1090.61025749497,1036.55950388766
3,4249.89398441052,1761.35372030863,1652.16438867478
4,6724.57741020298,2667.99743586097,2530.33668034691
5,9164.94471575622,3770.52063725252,3519.44486006662
6,13284.9541316251,5200.74974172248,4834.30294439716
7,16113.5662921741,6619.87038219677,6623.78626036823
8,18324.6848513548,8101.69750615141,8085.48637327694
9,24307.1644480632,9962.58879325404,9996.00204831922
