"","Maximum","Mean","Median"
0,6452.13997194861,1699.39109069617,1107.09692266806
1,7494.09267876865,2561.81116802816,2189.65951567385
2,9962.55691097742,4074.41034804334,3995.81784699962
3,14982.9374240489,6097.25999527059,6551.97787224904
4,20704.3982417363,8763.95770711692,9344.18944399646
5,32562.589436953,12256.6032683195,11995.1057067592
6,46966.9831775934,16898.6825813982,16205.7736383461
7,64019.7677136131,21656.4486652142,20230.7197324112
8,87079.6329840851,26813.7159403785,24213.9355408469
9,105138.486106949,28790.945658224,25408.6061113922
