"","Domestic","Commercial","Public"
0,102.933333333333,0,0
1,142.016666666667,0,0
2,137.166666666667,0,0
3,139.566666666667,0,0
4,130.316666666667,0,0
5,142.483333333333,0,0
6,98.6,0,0
7,59.1666666666666,0,0
8,66.5,4500,0
9,63.5333333333333,4500,0
10,75.9333333333333,4500,0
11,100.416666666667,4500,0
12,69.35,4500,0
13,56.35,4500,0
14,76.4333333333333,4500,0
15,94.5,0,0
16,156.016666666667,0,0
17,277.116666666667,0,0
18,322.55,0,0
19,257.866666666667,0,0
20,221.183333333333,0,0
21,247.35,0,0
22,299.8,0,0
23,251.383333333333,0,0
24,102.933333333333,0,0
25,142.016666666667,0,0
26,137.166666666667,0,0
27,139.566666666667,0,0
28,130.316666666667,0,0
29,142.483333333333,0,0
30,98.6,0,0
31,59.1666666666666,0,0
32,66.5,4500,0
33,63.5333333333333,4500,0
34,75.9333333333333,4500,0
35,100.416666666667,4500,0
36,69.35,4500,0
37,56.35,4500,0
38,76.4333333333333,4500,0
39,94.5,0,0
40,156.016666666667,0,0
41,277.116666666667,0,0
42,322.55,0,0
43,257.866666666667,0,0
44,221.183333333333,0,0
45,247.35,0,0
46,299.8,0,0
47,251.383333333333,0,0
48,102.933333333333,0,0
49,142.016666666667,0,0
50,137.166666666667,0,0
51,139.566666666667,0,0
52,130.316666666667,0,0
53,142.483333333333,0,0
54,98.6,0,0
55,59.1666666666666,0,0
56,66.5,4500,0
57,63.5333333333333,4500,0
58,75.9333333333333,4500,0
59,100.416666666667,4500,0
60,69.35,4500,0
61,56.35,4500,0
62,76.4333333333333,4500,0
63,94.5,0,0
64,156.016666666667,0,0
65,277.116666666667,0,0
66,322.55,0,0
67,257.866666666667,0,0
68,221.183333333333,0,0
69,247.35,0,0
70,299.8,0,0
71,251.383333333333,0,0
72,102.933333333333,0,0
73,142.016666666667,0,0
74,137.166666666667,0,0
75,139.566666666667,0,0
76,130.316666666667,0,0
77,142.483333333333,0,0
78,98.6,0,0
79,59.1666666666666,0,0
80,66.5,4500,0
81,63.5333333333333,4500,0
82,75.9333333333333,4500,0
83,100.416666666667,4500,0
84,69.35,4500,0
85,56.35,4500,0
86,76.4333333333333,4500,0
87,94.5,0,0
88,156.016666666667,0,0
89,277.116666666667,0,0
90,322.55,0,0
91,257.866666666667,0,0
92,221.183333333333,0,0
93,247.35,0,0
94,299.8,0,0
95,251.383333333333,0,0
96,103.816666666667,0,0
97,127.116666666667,0,0
98,128.733333333333,0,0
99,107.083333333333,0,0
100,104.2,0,0
101,107.183333333333,0,0
102,96.1666666666667,0,0
103,117.966666666667,0,0
104,89.4,4500,0
105,99.1833333333334,4500,0
106,95.2333333333333,4500,0
107,83.4,4500,0
108,41.25,4500,0
109,45.3333333333333,4500,0
110,34.1,4500,0
111,38.9833333333333,0,0
112,121.866666666667,0,0
113,153.283333333333,0,0
114,208.383333333333,0,0
115,219.55,0,0
116,220.533333333333,0,0
117,228.6,0,0
118,242.416666666667,0,0
119,173.45,0,0
120,103.816666666667,0,0
121,127.116666666667,0,0
122,128.733333333333,0,0
123,107.083333333333,0,0
124,104.2,0,0
125,107.183333333333,0,0
126,96.1666666666667,0,0
127,117.966666666667,0,0
128,89.4,4500,0
129,99.1833333333334,4500,0
