"","Maximum","Mean","Median"
0,5251.23809167755,1300.35725445608,642.181220028374
1,5999.11538008771,1756.85218191834,1197.32897137596
2,7472.61170760443,2655.80921557527,2274.37852320021
3,10195.6623265136,3862.11473798697,3768.55313117675
4,13501.0471639978,5740.48831276372,6144.60115767005
5,20278.3015489165,7768.16161004389,8141.89431011961
6,27888.594960489,10025.6506891651,10207.7161481087
7,39586.8164165567,13301.677597133,13838.9533370877
8,49729.5988630843,17379.6788479171,17128.2381391052
9,71365.4053020179,21784.2757807396,19989.2459164972
