"","Domestic","Commercial","Public"
0,113.65,0,0
1,120.366666666667,0,0
2,101.633333333333,0,0
3,107.933333333333,0,0
4,120.233333333333,0,0
5,118.116666666667,0,0
6,114.883333333333,0,0
7,69.1,0,0
8,56.95,4500,0
9,62.1333333333333,4500,0
10,78.1333333333333,4500,0
11,77.1666666666667,4500,0
12,52.2,4500,0
13,44.8666666666667,4500,0
14,49.7,4500,0
15,48.65,0,0
16,36.05,0,0
17,119.2,0,0
18,211.866666666667,0,0
19,259.433333333333,0,0
20,278.183333333333,0,0
21,310.983333333333,0,0
22,227.233333333333,0,0
23,192.483333333333,0,0
24,113.65,0,0
25,120.366666666667,0,0
26,101.633333333333,0,0
27,107.933333333333,0,0
28,120.233333333333,0,0
29,118.116666666667,0,0
30,114.883333333333,0,0
31,69.1,0,0
32,56.95,4500,0
33,62.1333333333333,4500,0
34,78.1333333333333,4500,0
35,77.1666666666667,4500,0
36,52.2,4500,0
37,44.8666666666667,4500,0
38,49.7,4500,0
39,48.65,0,0
40,36.05,0,0
41,119.2,0,0
42,211.866666666667,0,0
43,259.433333333333,0,0
44,278.183333333333,0,0
45,310.983333333333,0,0
46,227.233333333333,0,0
47,192.483333333333,0,0
48,113.65,0,0
49,120.366666666667,0,0
50,101.633333333333,0,0
51,107.933333333333,0,0
52,120.233333333333,0,0
53,118.116666666667,0,0
54,114.883333333333,0,0
55,69.1,0,0
56,56.95,4500,0
57,62.1333333333333,4500,0
58,78.1333333333333,4500,0
59,77.1666666666667,4500,0
60,52.2,4500,0
61,44.8666666666667,4500,0
62,49.7,4500,0
63,48.65,0,0
64,36.05,0,0
65,119.2,0,0
66,211.866666666667,0,0
67,259.433333333333,0,0
68,278.183333333333,0,0
69,310.983333333333,0,0
70,227.233333333333,0,0
71,192.483333333333,0,0
72,113.65,0,0
73,120.366666666667,0,0
74,101.633333333333,0,0
75,107.933333333333,0,0
76,120.233333333333,0,0
77,118.116666666667,0,0
78,114.883333333333,0,0
79,69.1,0,0
80,56.95,4500,0
81,62.1333333333333,4500,0
82,78.1333333333333,4500,0
83,77.1666666666667,4500,0
84,52.2,4500,0
85,44.8666666666667,4500,0
86,49.7,4500,0
87,48.65,0,0
88,36.05,0,0
89,119.2,0,0
90,211.866666666667,0,0
91,259.433333333333,0,0
92,278.183333333333,0,0
93,310.983333333333,0,0
94,227.233333333333,0,0
95,192.483333333333,0,0
96,106.6,0,0
97,119.583333333333,0,0
98,108.1,0,0
99,104.933333333333,0,0
100,105.066666666667,0,0
101,104.666666666667,0,0
102,97.6333333333333,0,0
103,57.2666666666667,0,0
104,43.2,4500,0
105,41.1333333333333,4500,0
106,32.3833333333333,4500,0
107,28.2333333333333,4500,0
108,57.5166666666667,4500,0
109,76.2,4500,0
110,55.65,4500,0
111,44.8666666666667,0,0
112,36.6,0,0
113,109.15,0,0
114,206.683333333333,0,0
115,231.466666666667,0,0
116,228.5,0,0
117,257,0,0
118,257.516666666667,0,0
119,226.5,0,0
120,106.6,0,0
121,119.583333333333,0,0
122,108.1,0,0
123,104.933333333333,0,0
124,105.066666666667,0,0
125,104.666666666667,0,0
126,97.6333333333333,0,0
127,57.2666666666667,0,0
128,43.2,4500,0
129,41.1333333333333,4500,0
130,32.3833333333333,4500,0
131,28.2333333333333,4500,0
132,57.5166666666667,4500,0
133,76.2,4500,0
134,55.65,4500,0
135,44.8666666666667,0,0
136,36.6,0,0
137,109.15,0,0
138,206.683333333333,0,0
139,231.466666666667,0,0
140,228.5,0,0
141,257,0,0
142,257.516666666667,0,0
143,226.5,0,0
144,113.65,0,0
145,120.366666666667,0,0
146,101.633333333333,0,0
147,107.933333333333,0,0
148,120.233333333333,0,0
149,118.116666666667,0,0
150,114.883333333333,0,0
151,69.1,0,0
152,56.95,4500,0
153,62.1333333333333,4500,0
154,78.1333333333333,4500,0
155,77.1666666666667,4500,0
156,52.2,4500,0
157,44.8666666666667,4500,0
158,49.7,4500,0
159,48.65,0,0
160,36.05,0,0
161,119.2,0,0
162,211.866666666667,0,0
163,259.433333333333,0,0
164,278.183333333333,0,0
165,310.983333333333,0,0
166,227.233333333333,0,0
167,192.483333333333,0,0
168,113.65,0,0
169,120.366666666667,0,0
170,101.633333333333,0,0
171,107.933333333333,0,0
172,120.233333333333,0,0
173,118.116666666667,0,0
174,114.883333333333,0,0
175,69.1,0,0
176,56.95,4500,0
177,62.1333333333333,4500,0
178,78.1333333333333,4500,0
179,77.1666666666667,4500,0
180,52.2,4500,0
181,44.8666666666667,4500,0
182,49.7,4500,0
183,48.65,0,0
184,36.05,0,0
185,119.2,0,0
186,211.866666666667,0,0
187,259.433333333333,0,0
188,278.183333333333,0,0
189,310.983333333333,0,0
190,227.233333333333,0,0
191,192.483333333333,0,0
192,113.65,0,0
193,120.366666666667,0,0
194,101.633333333333,0,0
195,107.933333333333,0,0
196,120.233333333333,0,0
197,118.116666666667,0,0
198,114.883333333333,0,0
199,69.1,0,0
200,56.95,4500,0
201,62.1333333333333,4500,0
202,78.1333333333333,4500,0
203,77.1666666666667,4500,0
204,52.2,4500,0
205,44.8666666666667,4500,0
206,49.7,4500,0
207,48.65,0,0
208,36.05,0,0
209,119.2,0,0
210,211.866666666667,0,0
211,259.433333333333,0,0
212,278.183333333333,0,0
213,310.983333333333,0,0
214,227.233333333333,0,0
215,192.483333333333,0,0
216,113.65,0,0
217,120.366666666667,0,0
218,101.633333333333,0,0
219,107.933333333333,0,0
220,120.233333333333,0,0
221,118.116666666667,0,0
222,114.883333333333,0,0
223,69.1,0,0
224,56.95,4500,0
225,62.1333333333333,4500,0
226,78.1333333333333,4500,0
227,77.1666666666667,4500,0
228,52.2,4500,0
229,44.8666666666667,4500,0
230,49.7,4500,0
231,48.65,0,0
232,36.05,0,0
233,119.2,0,0
234,211.866666666667,0,0
235,259.433333333333,0,0
236,278.183333333333,0,0
237,310.983333333333,0,0
238,227.233333333333,0,0
239,192.483333333333,0,0
240,113.65,0,0
241,120.366666666667,0,0
242,101.633333333333,0,0
243,107.933333333333,0,0
244,120.233333333333,0,0
245,118.116666666667,0,0
246,114.883333333333,0,0
247,69.1,0,0
248,56.95,4500,0
249,62.1333333333333,4500,0
250,78.1333333333333,4500,0
251,77.1666666666667,4500,0
252,52.2,4500,0
253,44.8666666666667,4500,0
254,49.7,4500,0
255,48.65,0,0
256,36.05,0,0
257,119.2,0,0
258,211.866666666667,0,0
259,259.433333333333,0,0
260,278.183333333333,0,0
261,310.983333333333,0,0
262,227.233333333333,0,0
263,192.483333333333,0,0
264,106.6,0,0
265,119.583333333333,0,0
266,108.1,0,0
267,104.933333333333,0,0
268,105.066666666667,0,0
269,104.666666666667,0,0
270,97.6333333333333,0,0
271,57.2666666666667,0,0
272,43.2,4500,0
273,41.1333333333333,4500,0
274,32.3833333333333,4500,0
275,28.2333333333333,4500,0
276,57.5166666666667,4500,0
277,76.2,4500,0
278,55.65,4500,0
279,44.8666666666667,0,0
280,36.6,0,0
281,109.15,0,0
282,206.683333333333,0,0
