"month","day","day_of_year","weekday_status","hour","load"
1,23,23,1,23,0
1,24,24,1,0,0
1,24,24,1,1,0
1,24,24,1,2,0
1,24,24,1,3,0
1,24,24,1,4,0
1,24,24,1,5,0
1,24,24,1,6,0
1,24,24,1,7,0
1,24,24,1,8,0
1,24,24,1,9,0
1,24,24,1,10,0
1,24,24,1,11,0
1,24,24,1,12,0
1,24,24,1,13,0
1,24,24,1,14,0
1,24,24,1,15,0
1,24,24,1,16,0
1,24,24,1,17,0
1,24,24,1,18,0
1,24,24,1,19,0
1,24,24,1,20,0
1,24,24,1,21,0
1,24,24,1,22,0
1,24,24,1,23,0
1,25,25,1,0,0
1,25,25,1,1,0
1,25,25,1,2,0
1,25,25,1,3,0
1,25,25,1,4,0
1,25,25,1,5,0
1,25,25,1,6,0
1,25,25,1,7,0
1,25,25,1,8,0
1,25,25,1,9,0
1,25,25,1,10,0
1,25,25,1,11,0
1,25,25,1,12,0
1,25,25,1,13,0
1,25,25,1,14,0
1,25,25,1,15,0
1,25,25,1,16,0
1,25,25,1,17,0
1,25,25,1,18,0
1,25,25,1,19,0
1,25,25,1,20,0
1,25,25,1,21,0
1,25,25,1,22,0
1,25,25,1,23,0
1,26,26,0,0,0
1,26,26,0,1,0
1,26,26,0,2,0
1,26,26,0,3,0
1,26,26,0,4,0
1,26,26,0,5,0
1,26,26,0,6,0
1,26,26,0,7,0
1,26,26,0,8,0
1,26,26,0,9,0
1,26,26,0,10,0
1,26,26,0,11,0
1,26,26,0,12,0
1,26,26,0,13,0
1,26,26,0,14,0
1,26,26,0,15,0
1,26,26,0,16,0
1,26,26,0,17,0
1,26,26,0,18,0
1,26,26,0,19,0
1,26,26,0,20,0
1,26,26,0,21,0
1,26,26,0,22,0
1,26,26,0,23,0
1,27,27,0,0,0
1,27,27,0,1,0
1,27,27,0,2,0
1,27,27,0,3,0
1,27,27,0,4,0
1,27,27,0,5,0
1,27,27,0,6,0
1,27,27,0,7,0
1,27,27,0,8,0
1,27,27,0,9,0
1,27,27,0,10,0
1,27,27,0,11,0
1,27,27,0,12,0
1,27,27,0,13,0
1,27,27,0,14,0
1,27,27,0,15,0
1,27,27,0,16,0
1,27,27,0,17,0
1,27,27,0,18,0
1,27,27,0,19,0
1,27,27,0,20,0
1,27,27,0,21,0
1,27,27,0,22,0
1,27,27,0,23,0
1,28,28,1,0,0
1,28,28,1,1,0
1,28,28,1,2,0
1,28,28,1,3,0
1,28,28,1,4,0
1,28,28,1,5,0
1,28,28,1,6,0
1,28,28,1,7,0
1,28,28,1,8,0
1,28,28,1,9,0
1,28,28,1,10,0
1,28,28,1,11,0
1,28,28,1,12,0
1,28,28,1,13,0
1,28,28,1,14,0
1,28,28,1,15,0
1,28,28,1,16,0
1,28,28,1,17,0
1,28,28,1,18,0
1,28,28,1,19,0
1,28,28,1,20,0
1,28,28,1,21,0
1,28,28,1,22,0
1,28,28,1,23,0
1,29,29,1,0,0
1,29,29,1,1,0
1,29,29,1,2,0
1,29,29,1,3,0
1,29,29,1,4,0
1,29,29,1,5,0
1,29,29,1,6,0
1,29,29,1,7,0
1,29,29,1,8,0
1,29,29,1,9,0
1,29,29,1,10,0
1,29,29,1,11,0
1,29,29,1,12,0
1,29,29,1,13,0
1,29,29,1,14,0
1,29,29,1,15,0
1,29,29,1,16,0
1,29,29,1,17,0
1,29,29,1,18,0
1,29,29,1,19,0
1,29,29,1,20,0
1,29,29,1,21,0
1,29,29,1,22,0
1,29,29,1,23,0
1,30,30,1,0,0
1,30,30,1,1,0
1,30,30,1,2,0
1,30,30,1,3,0
1,30,30,1,4,0
1,30,30,1,5,0
1,30,30,1,6,0
1,30,30,1,7,0
1,30,30,1,8,0
1,30,30,1,9,0
1,30,30,1,10,0
1,30,30,1,11,0
1,30,30,1,12,0
1,30,30,1,13,0
1,30,30,1,14,0
1,30,30,1,15,0
1,30,30,1,16,0
1,30,30,1,17,0
1,30,30,1,18,0
1,30,30,1,19,0
1,30,30,1,20,0
1,30,30,1,21,0
1,30,30,1,22,0
1,30,30,1,23,0
1,31,31,1,0,0
1,31,31,1,1,0
1,31,31,1,2,0
1,31,31,1,3,0
1,31,31,1,4,0
1,31,31,1,5,0
1,31,31,1,6,0
1,31,31,1,7,0
1,31,31,1,8,0
1,31,31,1,9,0
1,31,31,1,10,0
1,31,31,1,11,0
1,31,31,1,12,0
1,31,31,1,13,0
1,31,31,1,14,0
1,31,31,1,15,0
1,31,31,1,16,0
1,31,31,1,17,0
1,31,31,1,18,0
1,31,31,1,19,0
1,31,31,1,20,0
1,31,31,1,21,0
1,31,31,1,22,0
1,31,31,1,23,0
2,1,32,1,0,24
2,1,32,1,1,24
2,1,32,1,2,24
2,1,32,1,3,24
2,1,32,1,4,0
2,1,32,1,5,0
2,1,32,1,6,0
2,1,32,1,7,0
2,1,32,1,8,0
2,1,32,1,9,0
2,1,32,1,10,24
2,1,32,1,11,24
2,1,32,1,12,24
2,1,32,1,13,24
2,1,32,1,14,24
2,1,32,1,15,24
2,1,32,1,16,0
2,1,32,1,17,0
2,1,32,1,18,0
2,1,32,1,19,24
2,1,32,1,20,24
2,1,32,1,21,24
2,1,32,1,22,24
2,1,32,1,23,24
2,2,33,0,0,24
2,2,33,0,1,24
2,2,33,0,2,24
2,2,33,0,3,24
2,2,33,0,4,0
2,2,33,0,5,0
2,2,33,0,6,0
2,2,33,0,7,0
2,2,33,0,8,0
2,2,33,0,9,0
2,2,33,0,10,24
2,2,33,0,11,24
2,2,33,0,12,24
2,2,33,0,13,24
2,2,33,0,14,24
2,2,33,0,15,24
2,2,33,0,16,0
2,2,33,0,17,0
2,2,33,0,18,0
2,2,33,0,19,24
2,2,33,0,20,24
2,2,33,0,21,24
2,2,33,0,22,24
2,2,33,0,23,24
2,3,34,0,0,24
2,3,34,0,1,24
2,3,34,0,2,24
2,3,34,0,3,24
2,3,34,0,4,0
2,3,34,0,5,0
2,3,34,0,6,0
2,3,34,0,7,0
2,3,34,0,8,0
2,3,34,0,9,0
2,3,34,0,10,24
2,3,34,0,11,24
2,3,34,0,12,24
2,3,34,0,13,24
2,3,34,0,14,24
2,3,34,0,15,24
2,3,34,0,16,0
2,3,34,0,17,0
2,3,34,0,18,0
2,3,34,0,19,24
2,3,34,0,20,24
2,3,34,0,21,24
2,3,34,0,22,24
2,3,34,0,23,24
2,4,35,1,0,24
2,4,35,1,1,24
2,4,35,1,2,24
2,4,35,1,3,24
2,4,35,1,4,0
2,4,35,1,5,0
2,4,35,1,6,0
2,4,35,1,7,0
2,4,35,1,8,0
2,4,35,1,9,0
2,4,35,1,10,24
2,4,35,1,11,24
2,4,35,1,12,24
2,4,35,1,13,24
2,4,35,1,14,24
2,4,35,1,15,24
2,4,35,1,16,0
2,4,35,1,17,0
2,4,35,1,18,0
2,4,35,1,19,24
2,4,35,1,20,24
2,4,35,1,21,24
2,4,35,1,22,24
2,4,35,1,23,24
2,5,36,1,0,24
2,5,36,1,1,24
2,5,36,1,2,24
2,5,36,1,3,24
2,5,36,1,4,0
2,5,36,1,5,0
2,5,36,1,6,0
2,5,36,1,7,0
2,5,36,1,8,0
2,5,36,1,9,0
2,5,36,1,10,24
2,5,36,1,11,24
2,5,36,1,12,24
2,5,36,1,13,24
2,5,36,1,14,24
2,5,36,1,15,24
2,5,36,1,16,0
2,5,36,1,17,0
2,5,36,1,18,0
2,5,36,1,19,24
2,5,36,1,20,24
2,5,36,1,21,24
2,5,36,1,22,24
2,5,36,1,23,24
2,6,37,1,0,24
2,6,37,1,1,24
2,6,37,1,2,24
2,6,37,1,3,24
2,6,37,1,4,0
2,6,37,1,5,0
2,6,37,1,6,0
2,6,37,1,7,0
2,6,37,1,8,0
2,6,37,1,9,0
2,6,37,1,10,24
2,6,37,1,11,24
2,6,37,1,12,24
2,6,37,1,13,24
2,6,37,1,14,24
2,6,37,1,15,24
2,6,37,1,16,0
2,6,37,1,17,0
2,6,37,1,18,0
2,6,37,1,19,24
2,6,37,1,20,24
2,6,37,1,21,24
2,6,37,1,22,24
2,6,37,1,23,24
2,7,38,1,0,24
2,7,38,1,1,24
2,7,38,1,2,24
2,7,38,1,3,24
2,7,38,1,4,0
2,7,38,1,5,0
2,7,38,1,6,0
2,7,38,1,7,0
2,7,38,1,8,0
2,7,38,1,9,0
2,7,38,1,10,24
