,Start year,End year,Initial PV size,Initial storage size,Final PV size,Final storage size,Diesel capacity,Cumulative cost ($),Cumulative system cost ($),Cumulative storage cost ($),Cumulative GHGs (kgCO2eq),Cumulative system GHGs (kgCO2eq),Cumulative energy (kWh),Cumulative discounted energy (kWh),Cumulative discounted storage energy (kWh),LCUE ($/kWh),LCSE ($/kWh),Emissions intensity (gCO2/kWh),Blackouts,Unmet energy fraction,Renewables fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Discounted storage energy (kWh),Kerosene displacement,Diesel fuel usage (l),Total cost ($),Total system cost ($),New equipment cost ($),New storage cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($),Total GHGs (kgCO2eq),Total system GHGs (kgCO2eq),New equipment GHGs (kgCO2eq),New connection GHGs (kgCO2eq),O&M GHGs (kgCO2eq),Diesel GHGs (kgCO2eq),Grid GHGs (kgCO2eq),Kerosene GHGs (kgCO2eq),Kerosene GHGs mitigated (kgCO2eq)
0,0.0,5.0,25.127129300000078,62.817823249999776,23.87077283500007,57.90830116899461,0.0,41914.44,41914.44,21986.24,66800.15,66800.15,95160.875,70770.674,36665.247,0.592,0.6,701.971,0.048,0.048,1.0,95160.875,4444.042,46065.654,49095.221,0.0,0.0,70770.674,36665.247,0.0,0.0,41914.44,41914.44,38915.89,21986.24,0.0,2998.55,0.0,0.0,0.0,0.0,66800.15,66800.15,66800.15,0.0,0.0,0.0,0.0,0.0,0.0
0,5.0,10.0,68.20220810000006,161.53154549999957,64.79209769500005,144.90876192630355,0.0,85799.58,85799.58,58254.380000000005,182671.59,182671.59,470166.131,250547.086,116706.197,0.342,0.499,388.526,0.081,0.049,1.0,375005.256,18063.772,208777.42,166227.836,0.0,0.0,179776.412,80040.95,0.0,0.0,43885.14,43885.14,39053.17,36268.14,0.0,4831.98,0.0,0.0,0.0,0.0,115871.44,115871.44,115871.44,0.0,0.0,0.0,0.0,0.0,0.0
