,Start year,End year,Initial PV size,Initial storage size,Final PV size,Final storage size,Diesel capacity,Cumulative cost ($),Cumulative system cost ($),Cumulative storage cost ($),Cumulative GHGs (kgCO2eq),Cumulative system GHGs (kgCO2eq),Cumulative energy (kWh),Cumulative discounted energy (kWh),Cumulative discounted storage energy (kWh),LCUE ($/kWh),LCSE ($/kWh),Emissions intensity (gCO2/kWh),Blackouts,Unmet energy fraction,Renewables fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Discounted storage energy (kWh),Kerosene displacement,Diesel fuel usage (l),Total cost ($),Total system cost ($),New equipment cost ($),New storage cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($),Total GHGs (kgCO2eq),Total system GHGs (kgCO2eq),New equipment GHGs (kgCO2eq),New connection GHGs (kgCO2eq),O&M GHGs (kgCO2eq),Diesel GHGs (kgCO2eq),Grid GHGs (kgCO2eq),Kerosene GHGs (kgCO2eq),Kerosene GHGs mitigated (kgCO2eq)
0,0.0,5.0,15.128361749999995,25.213936249999882,14.371943662499994,23.021364530311303,0.0,20321.62,20321.62,8824.88,38239.26,38239.26,70984.129,54306.299,16460.87,0.374,0.536,538.702,0.084,0.05,1.0,70984.129,3585.512,49058.412,21925.717,0.0,0.0,54306.299,16460.87,0.0,0.0,20321.62,20321.62,19017.76,8824.88,0.0,1303.86,0.0,0.0,0.0,0.0,38239.26,38239.26,38239.26,0.0,0.0,0.0,0.0,0.0,0.0
0,5.0,10.0,41.35085545000003,85.72738324999989,39.28331267750003,77.01504958023907,0.0,46642.75,46642.75,30771.989999999998,108699.54999999999,108699.54999999999,290802.848,158969.979,58293.05,0.293,0.528,373.791,0.079,0.05,1.0,219818.719,10918.896,132695.382,87123.337,0.0,0.0,104663.68,41832.18,0.0,0.0,26321.13,26321.13,23693.07,21947.11,0.0,2628.07,0.0,0.0,0.0,0.0,70460.29,70460.29,70460.29,0.0,0.0,0.0,0.0,0.0,0.0
