,Start year,End year,Initial PV size,Initial storage size,Final PV size,Final storage size,Diesel capacity,Cumulative cost ($),Cumulative system cost ($),Cumulative storage cost ($),Cumulative GHGs (kgCO2eq),Cumulative system GHGs (kgCO2eq),Cumulative energy (kWh),Cumulative discounted energy (kWh),Cumulative discounted storage energy (kWh),LCUE ($/kWh),LCSE ($/kWh),Emissions intensity (gCO2/kWh),Blackouts,Unmet energy fraction,Renewables fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Discounted storage energy (kWh),Kerosene displacement,Diesel fuel usage (l),Total cost ($),Total system cost ($),New equipment cost ($),New storage cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($),Total GHGs (kgCO2eq),Total system GHGs (kgCO2eq),New equipment GHGs (kgCO2eq),New connection GHGs (kgCO2eq),O&M GHGs (kgCO2eq),Diesel GHGs (kgCO2eq),Grid GHGs (kgCO2eq),Kerosene GHGs (kgCO2eq),Kerosene GHGs mitigated (kgCO2eq)
0,0.0,5.0,41.178967200000045,91.50881599999991,39.12001884000004,85.73480515976284,0.0,64231.91,64231.91,32028.09,107677.89,107677.89,140714.494,105175.942,42561.433,0.611,0.753,765.222,0.037,0.049,1.0,140714.494,6779.35,82974.386,57740.108,0.0,0.0,105175.942,42561.433,0.0,0.0,64231.91,64231.91,59772.83,32028.09,0.0,4459.09,0.0,0.0,0.0,0.0,107677.89,107677.89,107677.89,0.0,0.0,0.0,0.0,0.0,0.0
0,5.0,10.0,93.79653640000002,228.77204,89.10670958000001,207.1827333377399,0.0,122355.45000000001,122355.45000000001,82091.12,252980.36,252980.36,646545.699,349501.451,147841.695,0.35,0.555,391.28,0.068,0.049,1.0,505831.205,24400.0,289938.138,215893.067,0.0,0.0,244325.509,105280.262,0.0,0.0,58123.54,58123.54,51314.69,50063.03,0.0,6808.84,0.0,0.0,0.0,0.0,145302.47,145302.47,145302.47,0.0,0.0,0.0,0.0,0.0,0.0
