"","Maximum","Mean","Median"
0,5448.29943923196,1314.99660008178,639.997032196118
1,6089.23348375802,1795.64404849907,1262.88622867008
2,7455.29021635814,2520.91426370837,2118.38959545642
3,10421.9902014768,3228.939362929,2874.16702232111
4,12009.2887292633,4412.02250528656,4022.04367648932
5,19994.2697964786,5584.05883328006,5469.95306550169
6,21223.8738379477,6975.86892294303,6636.19908618127
7,27524.4781334221,8689.63084682959,8427.29981610787
8,40807.7727874952,10639.3666771082,10156.8273137408
9,44259.2168106969,11336.1724502898,11035.4634561362
