"","Maximum","Mean","Median"
0,4954.29839441158,1133.15857269926,447.665691484068
1,5528.16728469882,1411.0865401777,793.961106320943
2,6543.0441663404,1961.4985455353,1472.75044536036
3,7280.21172284145,2516.13886647568,2110.25566257037
4,9256.51090172549,3236.95750738488,2876.42534143201
5,9176.61058516766,3937.58668586034,3770.9024258761
6,11429.230995753,4778.18699885452,4581.83966227271
7,16032.1032336608,5904.83784908809,5824.08184552418
8,20623.671016611,7380.34611304129,7338.795900204
9,27905.0803415523,8958.77920252476,8446.69587710856
