"","Maximum","Mean","Median"
0,1774.71406588945,656.412865813002,630.868231220613
1,2867.93815538735,1100.87492827745,1067.23520618501
2,5122.41833073907,1977.12902993453,1914.24656429338
3,7859.8709753456,3128.55095776686,2951.35389633097
4,11565.433932096,4711.03466772964,4412.04164789791
5,15535.8735587307,6211.63797119967,5762.12850095437
6,20391.3764535603,8032.32541046141,7857.00324490261
7,31940.6869563768,10163.4220477146,9121.44255208543
8,44782.0452017013,13283.117447102,11401.4565445987
9,64973.2173740183,17670.3809332532,14429.1125791617
