"","Maximum","Mean","Median"
0,1182.12,313.528646499239,252.246666666667
1,1560.93068313212,511.103981195033,433.726699789895
2,2220.95154288585,785.515583112192,703.245091202383
3,3386.5299072494,1229.09822162002,1086.23716810218
4,4062.49768348535,1678.88114115846,1487.80695060384
5,5347.9000076669,2128.56080930119,1970.91815554103
6,5917.20731559842,2677.75494635709,2592.88397026028
7,7997.9177537929,3190.16951503345,3068.11559464216
8,9534.35527941939,3694.78542631942,3633.69071281554
9,11670.0177694416,4305.53569260612,4221.958333243
