"","Maximum","Mean","Median"
0,5453.94264864934,1303.64589295419,642.486940514371
1,5837.10420795483,1770.6682415445,1218.22343666678
2,7075.87000906351,2660.1708873483,2311.06063073009
3,9342.20398739022,3762.96381148879,3731.49209285461
4,11193.1013443109,5173.88727156339,5559.84806487967
5,14197.0999509183,6547.96466880788,6973.52066826751
6,16794.0309198541,7671.38549503788,8153.43117568601
7,18201.4460706304,8557.66288387781,9021.8482277291
8,22722.4998318036,9114.45064942488,9451.97183733442
9,23405.0141050393,9302.96160470037,9532.0992250728
