"","Maximum","Mean","Median"
0,4904.36666666667,1011.90734969559,279.066666666667
1,5290.59582139472,1310.40893356525,671.58659908055
2,5910.24243955113,1740.52854606519,1160.92614294679
3,6922.48240632779,2408.00657351563,2016.16145974219
4,8118.20914194678,3260.87772083374,2985.63710822988
5,9270.48135976907,4327.49294013561,4434.03416411041
6,11576.4428218454,5458.66827075316,5966.85833222178
7,13316.2808287388,6511.51830615374,6823.37493687077
8,14686.8205077684,7076.09437285939,7349.30438479961
9,15168.3310332276,7359.62916253079,7509.32159130091
