"","Maximum","Mean","Median"
0,2222.5864459166,662.68006393262,606.650644545113
1,3056.06492143797,1143.32751234991,1069.08029145795
2,5198.03515837317,1868.59772755921,1826.17938925026
3,6476.04815533241,2576.62282677984,2503.12234905066
4,9530.59755540503,3759.70596913739,3707.58186154482
5,20393.3731298119,4931.7422971309,4824.20194674012
6,18666.1784490967,6323.55238679387,6117.49858446592
7,27903.9914667554,8037.31431068043,7869.40316631106
8,38947.5361208285,9987.05014095906,9461.78326379635
9,42398.9801440303,10683.8559141406,10366.8977119293
