"","Maximum","Mean","Median"
0,4622,892.430175038052,158.1
1,4732.03333333333,948.096799847793,228.216666666667
2,5077.65,1079.83035768645,387.233333333333
3,5542.73333333333,1400.93685502283,755.633333333333
4,6117.53333333333,1830.26204908676,1232.35
5,6648.93333333333,2257.20475266362,1753.91666666667
6,7303.86666666667,2583.79968797565,2154.78333333333
7,7806.35,2719.47452435312,2183.08333333333
8,7899.26666666667,2747.69501902588,2214.03333333333
9,7711.55,2803.69933028919,2361.36666666667
