"","Maximum","Mean","Median"
0,1487.79951329788,480.842036550096,411.295131281097
1,2056.35002682975,758.770004028532,668.114011796055
2,3927.82987723077,1309.18200938613,1191.22284304563
3,4325.3660503439,1863.82233032652,1741.3994326069
4,7115.51458689746,2584.64097123572,2493.27445384714
5,8884.49504188164,3285.27014971118,3313.99956914486
6,10661.3737332144,4125.87046270536,4226.78594776326
7,16428.5265669942,5252.52131293892,5148.63419912
8,18130.6568974399,6728.02957689213,6763.21959668975
9,25155.4882824288,8306.4626663756,7914.10753675163
