"","Maximum","Mean","Median"
0,5287.08293514187,1308.72940196216,656.006174978523
1,5889.53202194041,1753.19146442661,1200.35678530545
2,7383.56339529703,2629.44556608369,2237.58463307379
3,9251.86407906861,3780.86749391602,3792.34576989034
4,12052.4609495039,5363.3512038788,5829.301448551
5,15284.9348612568,6863.95450734884,7380.88967789176
6,20054.623120227,8684.64194661058,9024.38399907276
7,31603.9336230434,10815.7385838637,10453.8512012846
8,44445.291868368,13935.4339832512,13036.3345679999
9,64691.9807073516,18322.6974694024,15491.1636115984
