"","Domestic","Commercial","Public"
0,198.692551535251,0,0
1,214.527821050779,0,0
2,181.601891961604,0,0
3,205.324977518961,0,0
4,211.963292796788,0,0
5,290.933117735006,0,0
6,358.075212633628,0,0
7,275.784737963721,0,0
8,273.815575197283,4500,0
9,330.753044339806,4500,0
10,344.490493143026,4500,0
11,383.249092238321,4500,0
12,319.275499918826,4500,0
13,248.251254821947,4500,0
14,266.4845908844,4500,0
15,246.102649604209,0,0
16,298.14442114313,0,0
17,499.539545048709,0,0
18,570.63101606148,0,0
19,631.606146944511,0,0
20,626.73269216034,0,0
21,575.045928182667,0,0
22,457.0726253302,0,0
23,359.868586516389,0,0
24,198.692551535251,0,0
25,214.527821050779,0,0
26,181.601891961604,0,0
27,205.324977518961,0,0
28,211.963292796788,0,0
29,290.933117735006,0,0
30,358.075212633628,0,0
31,275.784737963721,0,0
32,273.815575197283,4500,0
33,330.753044339806,4500,0
34,344.490493143026,4500,0
35,383.249092238321,4500,0
36,319.275499918826,4500,0
37,248.251254821947,4500,0
38,266.4845908844,4500,0
39,246.102649604209,0,0
40,298.14442114313,0,0
41,499.539545048709,0,0
42,570.63101606148,0,0
43,631.606146944511,0,0
44,626.73269216034,0,0
45,575.045928182667,0,0
46,457.0726253302,0,0
47,359.868586516389,0,0
48,198.692551535251,0,0
49,214.527821050779,0,0
50,181.601891961604,0,0
51,205.324977518961,0,0
52,211.963292796788,0,0
53,290.933117735006,0,0
54,358.075212633628,0,0
55,275.784737963721,0,0
56,273.815575197283,4500,0
57,330.753044339806,4500,0
58,344.490493143026,4500,0
59,383.249092238321,4500,0
60,319.275499918826,4500,0
61,248.251254821947,4500,0
62,266.4845908844,4500,0
63,246.102649604209,0,0
64,298.14442114313,0,0
65,499.539545048709,0,0
66,570.63101606148,0,0
67,631.606146944511,0,0
68,626.73269216034,0,0
69,575.045928182667,0,0
70,457.0726253302,0,0
71,359.868586516389,0,0
72,198.692551535251,0,0
73,214.527821050779,0,0
74,181.601891961604,0,0
75,205.324977518961,0,0
76,211.963292796788,0,0
77,290.933117735006,0,0
78,358.075212633628,0,0
79,275.784737963721,0,0
